ACC (%),PRE (%),REC (%),F1 (%),ROC AUC (%)
BNB Training,96.50,93.82,98.65,96.17,96.71
BNB Training porter,93.40,89.26,96.86,92.90,93.74
BNB Training wl,81.10,72.12,93.95,81.60,82.35
BNB Training porter+wl,78.80,69.97,91.93,79.46,80.08
MNB Training-CountVec,95.70,94.09,96.41,95.24,95.77
MNB Training-CountVec porter,93.60,92.83,92.83,92.83,93.52
MNB Training-CountVec wl,81.20,75.80,84.98,80.13,81.57
MNB Training-CountVec porter+wl,80.50,75.88,82.51,79.05,80.70
MNB Training-TfidfVec,90.50,99.72,78.92,88.11,89.37
MNB Training-TfidfVec porter,86.20,99.04,69.73,81.84,84.59
MNB Training-TfidfVec wl,84.80,81.96,84.53,83.22,84.77
MNB Training-TfidfVec porter+wl,83.20,80.48,82.29,81.37,83.11
BNB Test,70.50,75.00,65.71,70.05,70.75
BNB Test porter,70.00,74.19,65.71,69.70,70.23
BNB Test wl,65.50,65.25,73.33,69.06,65.09
BNB Test porter+wl,67.00,66.96,73.33,70.00,66.67
MNB Test-CountVec,72.00,78.82,63.81,70.53,72.43
MNB Test-CountVec porter,68.00,75.95,57.14,65.22,68.57
MNB Test-CountVec wl,64.50,66.67,64.76,65.70,64.49
MNB Test-CountVec porter+wl,63.50,66.00,62.86,64.39,63.53
MNB Test-TfidfVec,59.50,80.00,30.48,44.14,61.03
MNB Test-TfidfVec porter,60.50,84.21,30.48,44.76,62.08
MNB Test-TfidfVec wl,65.50,70.45,59.05,64.25,65.84
MNB Test-TfidfVec porter+wl,63.50,68.60,56.19,61.78,63.88
