,file,artist,title
0,subset_msd_summary_file.h5,Mastodon,Deep Sea Creature
1,TRAAABD128F429CF47.h5,The Box Tops,Soul Deep
2,TRAAAFD128F92F423A.h5,Gob,Face the Ashes
3,TRAAARJ128F9320760.h5,Planet P Project,Pink World
4,TRAABLR128F423B7E3.h5,Blue Rodeo,Floating
5,TRAABVM128F92CA9DC.h5,Tesla,Caught In A Dream
6,TRAACFV128F935E50B.h5,SUE THOMPSON,James (Hold The Ladder Steady)
7,TRAACNS128F14A2DF5.h5,Willie Bobo,Spanish Grease
8,TRAACSL128F93462F4.h5,The Shangri-Las,Twist and Shout
9,TRAADLH12903CA70EE.h5,The Suicide Machines,Burning In The Aftermath
10,TRAADNA128F9331246.h5,Stevie Ray Vaughan,Crossfire
11,TRAADOF12903CAA1C1.h5,John Hammond,I Can't Be Satisfied
12,TRAADQX128F422B4CF.h5,Casiotone For The Painfully Alone,Nashville Parthenon
13,TRAAENC128F1451DE9.h5,Francis Dunnery,Too Much Saturn
14,TRAAEUB12903CDD3EA.h5,The Berzerker,Deform (live)
15,TRAAFJW128F428A424.h5,NOFX,Stickin In My Eye
16,TRAAFSM128F425A2C5.h5,White Heart,Where The Thunder Roars (Tales Of Wonder Album Version)
17,TRAAFYL128E07856A7.h5,Van Halen,Panama (Remastered Album Version)
18,TRAAGCZ128F93210FD.h5,Black Eyed Peas,Let's Get It Started
19,TRAAGEC128E079252C.h5,Nine Inch Nails,Metal
20,TRAAGGE128F9325E2C.h5,Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster)
21,TRAAGJV128F1464090.h5,Lesley Gore,It's My Party
22,TRAAGOH128F42593CE.h5,T.G. Sheppard,You Feel Good All Over
23,TRAAGPJ128F428CD1B.h5,Queens Of The Stone Age,I Never Came
24,TRAAGVM128E0784D95.h5,Borialis,Hourglass
25,TRAAHRF128F92FE234.h5,The Brooklyn Tabernacle Choir,Lead Me Lord
26,TRAAHZP12903CA25F4.h5,Organized Konfusion,Hate
27,TRAAIAN12903CFF16D.h5,Horace Andy,Thank You Lord
28,TRAAIAX128F930531B.h5,Nazz,How Can You Call That Beautiful (Stewkey Vocal)
29,TRAAIDY128F92CA454.h5,Hot Tuna,Candy Man
30,TRAAIHL128F92E6DDA.h5,Boyz II Men,On Bended Knee
31,TRAAIII128F427D5D8.h5,Donny Hathaway,Little Girl (LP Version)
32,TRAAIXU128F4241E5C.h5,Tony Joe White,I Want Love (Tween You & Me) (Album Version)
33,TRAAJJG128F4284B27.h5,The Verve Pipe,Medicate Myself
34,TRAAJMH128E0785407.h5,Marvin Sapp,More And More  (LP Version)
35,TRAAJYX128F4255568.h5,Maxi Priest,Groovin' In The Midnight
36,TRAAKVZ12903D074BB.h5,Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals)
37,TRAALZC128F92E11A6.h5,Dolly Parton,Letter To Heaven
38,TRAAMES128F42AF068.h5,Pearl Jam,Inside Job
39,TRAAMFG128F92FDEA2.h5,Natalie Cole,Take A Look  (LP Version)
40,TRAAMFT128F93128AD.h5,Mastodon,The Czar: Usurper/Escape/Martyr/Spiral (Album Version)
41,TRAAMJY128F92F5919.h5,DJ Quik,Born and Raised In Compton
42,TRAAMSO128EF348DCC.h5,L.A. Guns,Bitch Is Back
43,TRAAMYQ128F148B753.h5,Shelley Fabares,Johnny Loves Me (LP Version)
44,TRAANBH128F9345A6C.h5,Diesel Boy,Cooler Than You
45,TRAANLO128F422AE37.h5,Cradle Of Filth,Summer Dying Fast
46,TRAAOJI128F1458DCD.h5,Heaven 17,(We Don't Need This) Fascist Groove Thang
47,TRAAPFQ128F42684DB.h5,Dimmu Borgir,Master Of Disharmony
48,TRAAPSQ12903CAE86A.h5,Sex Pistols,God Save the Queen (Live)
49,TRAAPVV128F425D64C.h5,Chris Brown,Forever
50,TRAAQBF12903CF796B.h5,Hem,Have Yourself A Merry Little Christmas
51,TRAAQCK128F92E8C33.h5,Lily Allen,U Killed It
52,TRAAQDJ128F92F95E0.h5,Pentangle,Rain And Snow
