,file,artist,title
0,TRAAAAW128F429D538.h5,Casual,I Didn't Mean To
1,TRAAAEF128F4273421.h5,Adam Ant,Something Girls
2,TRAAAFD128F92F423A.h5,Gob,Face the Ashes
3,TRAABJV128F1460C49.h5,Lionel Richie,Tonight Will Be Alright
4,TRAABLR128F423B7E3.h5,Blue Rodeo,Floating
5,TRAABVM128F92CA9DC.h5,Tesla,Caught In A Dream
6,TRAACER128F4290F96.h5,The Dillinger Escape Plan,Setting Fire to Sleeping Giants
7,TRAACFV128F935E50B.h5,SUE THOMPSON,James (Hold The Ladder Steady)
8,TRAACHN128F1489601.h5,Five Bolt Main,Made Like This (Live)
9,TRAACNS128F14A2DF5.h5,Willie Bobo,Spanish Grease
10,TRAACQT128F9331780.h5,John Wesley,The Emperor Falls
11,TRAACTB12903CAAF15.h5,Billie Jo Spears,It Makes No Difference Now
12,TRAADLN128F14832E9.h5,The Rolling Stones,Angie (1993 Digital Remaster)
13,TRAADNA128F9331246.h5,Stevie Ray Vaughan,Crossfire
14,TRAADQX128F422B4CF.h5,Casiotone For The Painfully Alone,Nashville Parthenon
15,TRAADYB128F92D7E73.h5,Eliane Elias,The More I See You
16,TRAADYI128E078FB38.h5,Lost Boyz,Certain Things We Do
17,TRAAEAM128F934B199.h5,The Germs,Forming
18,TRAAEEH128E0795DFE.h5,Chris Rea,Driving Home For Christmas
19,TRAAEUB12903CDD3EA.h5,The Berzerker,Deform (live)
20,TRAAEWG128F930B3A4.h5,Kings Of Leon,Wicker Chair
21,TRAAFJW128F428A424.h5,NOFX,Stickin In My Eye
22,TRAAFYL128E07856A7.h5,Van Halen,Panama (Remastered Album Version)
23,TRAAGCZ128F93210FD.h5,Black Eyed Peas,Let's Get It Started
24,TRAAGEC128E079252C.h5,Nine Inch Nails,Metal
25,TRAAGGE128F9325E2C.h5,Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster)
26,TRAAGJV128F1464090.h5,Lesley Gore,It's My Party
27,TRAAGPF12903CE027E.h5,Slim Whitman,Indian Love Call
28,TRAAGPH128F4273C8D.h5,Savage Garden,You Can Still Be Free
29,TRAAGPJ128F428CD1B.h5,Queens Of The Stone Age,I Never Came
30,TRAAGVF128E0789785.h5,Inspiral Carpets,Commercial Reign
31,TRAAHEG128E07861C3.h5,Redman,WKYA (drop)
32,TRAAHZP12903CA25F4.h5,Organized Konfusion,Hate
33,TRAAIAE128F42AC53D.h5,Martina McBride,I Can't Stop Loving You
34,TRAAIAX128F930531B.h5,Nazz,How Can You Call That Beautiful (Stewkey Vocal)
35,TRAAIDY128F92CA454.h5,Hot Tuna,Candy Man
36,TRAAIHL128F92E6DDA.h5,Boyz II Men,On Bended Knee
37,TRAAIII128F427D5D8.h5,Donny Hathaway,Little Girl (LP Version)
38,TRAAIYR12903CD290D.h5,Wolfmother,White Feather
39,TRAAJEK128F422F55A.h5,Jupiter Rising,They Say (Album)
40,TRAAJJA12903CC518A.h5,Saafir,Crawl Before You Ball (Album Version)
41,TRAAJJG128F4284B27.h5,The Verve Pipe,Medicate Myself
42,TRAAJYX128F4255568.h5,Maxi Priest,Groovin' In The Midnight
43,TRAAKAS128F4246013.h5,Porcupine Tree,Waiting
44,TRAAKDF128F92FA302.h5,Foo Fighters,Hell
45,TRAAKNS12903CC5198.h5,Robben Ford,I Got Over It (Album Version)
46,TRAAKVZ12903D074BB.h5,Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals)
47,TRAALZC128F92E11A6.h5,Dolly Parton,Letter To Heaven
48,TRAAMES128F42AF068.h5,Pearl Jam,Inside Job
49,TRAAMFG128F92FDEA2.h5,Natalie Cole,Take A Look  (LP Version)
50,TRAAMJY128F92F5919.h5,DJ Quik,Born and Raised In Compton
51,TRAAMKI128F428537A.h5,Hank Locklin,We're Gonna Go Fishin'
52,TRAANBH128F9345A6C.h5,Diesel Boy,Cooler Than You
53,TRAANLO128F422AE37.h5,Cradle Of Filth,Summer Dying Fast
54,TRAAOIN128F9303790.h5,Test Icicles,Snowball
55,TRAAOJI128F1458DCD.h5,Heaven 17,(We Don't Need This) Fascist Groove Thang
56,TRAAPFQ128F42684DB.h5,Dimmu Borgir,Master Of Disharmony
57,TRAAPSQ12903CAE86A.h5,Sex Pistols,God Save the Queen (Live)
58,TRAAPVV128F425D64C.h5,Chris Brown,Forever
59,TRAAQBF12903CF796B.h5,Hem,Have Yourself A Merry Little Christmas
60,TRAAQCK128F92E8C33.h5,Lily Allen,U Killed It
61,TRAARHS128F931689D.h5,The Killers,Spaceman
62,TRAASFP128F42980BD.h5,Orbital,Illuminate
63,TRAASKQ128F4265E04.h5,Rage Against The Machine,Kick Out The Jams
64,TRAASQC128F93480F0.h5,Rise Against,Amber Changing
65,TRAASUZ128F9314950.h5,Korn,Hey Daddy
66,TRAASZE128F93499AE.h5,Agnes,I Need You Now
67,TRAATGM12903C9CD7C.h5,Tantric,Walk Away
68,TRAATIU128F4291A84.h5,Mastodon,Shadows That Move
69,TRAATNJ128F42631BA.h5,Korn,Ever Be
70,TRAATPA128F146753C.h5,Extreme,Teacher's Pet
71,TRAATWQ12903CC5BA8.h5,Prozak,Go To Hell
72,TRAAUEO128E0780CB9.h5,Placebo,English Summer Rain
73,TRAAUMJ128F933BDB6.h5,LORE,Haunting
74,TRAAUMN128F4273561.h5,Soul Asylum,Lies Of Hate
75,TRAAVIT128F92E657C.h5,Nightwish,Escapist
