file,artist,title,lyrics,mood,year
TRAAAAW128F429D538.h5,Casual,I Didn't Mean To,,sad,1994
TRAAAEF128F4273421.h5,Adam Ant,Something Girls,,happy,1982
TRAAAFD128F92F423A.h5,Gob,Face the Ashes,,sad,2007
TRAABJV128F1460C49.h5,Lionel Richie,Tonight Will Be Alright,,happy,1986
TRAABLR128F423B7E3.h5,Blue Rodeo,Floating,,sad,1987
TRAABVM128F92CA9DC.h5,Tesla,Caught In A Dream,,happy,2004
TRAACER128F4290F96.h5,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,,happy,2004
TRAACFV128F935E50B.h5,SUE THOMPSON,James (Hold The Ladder Steady),,happy,1985
TRAACHN128F1489601.h5,Five Bolt Main,Made Like This (Live),,sad,2006
TRAACNS128F14A2DF5.h5,Willie Bobo,Spanish Grease,,sad,1997
TRAACQT128F9331780.h5,John Wesley,The Emperor Falls,,sad,1998
TRAACTB12903CAAF15.h5,Billie Jo Spears,It Makes No Difference Now,,sad,1992
TRAADLN128F14832E9.h5,The Rolling Stones,Angie (1993 Digital Remaster),,sad,1973
TRAADNA128F9331246.h5,Stevie Ray Vaughan,Crossfire,,happy,1992
TRAADQX128F422B4CF.h5,Casiotone For The Painfully Alone,Nashville Parthenon,,sad,2006
TRAADYB128F92D7E73.h5,Eliane Elias,The More I See You,,sad,2009
TRAADYI128E078FB38.h5,Lost Boyz,Certain Things We Do,,happy,1997
TRAAEAM128F934B199.h5,The Germs,Forming,,sad,1977
TRAAEEH128E0795DFE.h5,Chris Rea,Driving Home For Christmas,,happy,1986
TRAAEUB12903CDD3EA.h5,The Berzerker,Deform (live),,sad,2000
TRAAEWG128F930B3A4.h5,Kings Of Leon,Wicker Chair,,sad,2003
TRAAFJW128F428A424.h5,NOFX,Stickin In My Eye,,happy,1992
TRAAFYL128E07856A7.h5,Van Halen,Panama (Remastered Album Version),,happy,1984
TRAAGCZ128F93210FD.h5,Black Eyed Peas,Let's Get It Started,,happy,2004
TRAAGEC128E079252C.h5,Nine Inch Nails,Metal,,sad,2000
TRAAGGE128F9325E2C.h5,Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),,sad,1986
TRAAGJV128F1464090.h5,Lesley Gore,It's My Party,,happy,1963
TRAAGPF12903CE027E.h5,Slim Whitman,Indian Love Call,,sad,1990
TRAAGPH128F4273C8D.h5,Savage Garden,You Can Still Be Free,,sad,1999
TRAAGPJ128F428CD1B.h5,Queens Of The Stone Age,I Never Came,,sad,2005
TRAAGVF128E0789785.h5,Inspiral Carpets,Commercial Reign,,sad,1990
TRAAHEG128E07861C3.h5,Redman,WKYA (drop),,happy,2001
TRAAHZP12903CA25F4.h5,Organized Konfusion,Hate,,sad,1997
TRAAIAE128F42AC53D.h5,Martina McBride,I Can't Stop Loving You,,sad,2005
